admin_tool_id,brand_id,tool_name,version,tool_types,plugin_formats,description,workflow_notes,tags
48357dd5-3183-4fa8-a90a-bfd6c50e1970,3edd4e7b-8665-4884-a0b1-8e5ee44b263d,8dio Downloader,v0.1.26,Standalone,,,,
1da33f8e-3784-43fc-8f5b-6a8086829f74,3f113207-ea84-4ba2-8eb7-90f802e2ee7a,Activation Manager 3,1.0.0,Standalone,,,,
7a3f267e-22a4-428a-aba6-ed71789d78b0,7e66e7b3-acb0-484b-a0a1-856cb4faa981,Arturia Software Center,2.12.0.3157,Standalone,,,,
d5947010-e322-49c5-9b5f-9794d53d8af0,07c4b938-7505-4597-9461-cebfb162ae82,Auto-Tune Central,2.0.1.7200,Standalone,,,,
f330cd69-4a2d-459c-a7a1-8676c9967050,6509afa9-b5b5-4e70-9c17-21210f076c9f,BFD License Manager,3.0.6.22,Standalone,,,,
35fdc237-6c27-4483-9eda-ef6553a71b3a,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,Custom Shop,2.0.0,Standalone,,Allows to shop / purchase specific plugins from IK Multimedia,,
f52ead88-0d33-4d49-9ced-1a935dc3e7ea,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,IK Product Manager,1.1.0,Standalone,,,,
1fbd04ac-3eb7-42e2-887f-9d30c73b7274,9f9942af-ff16-4b02-b7e4-08f390602b1e,iLok License Manager,5.10.3,Standalone,,,,
b37e6469-7562-484d-ae48-fb085d7b7c55,34a38932-d9fb-47ca-9bf3-8bb8724154fa,inMusic Software Center,1.35.0,Standalone,,,,
52ecbabf-94d2-4b0e-8bd9-8eee41ac4aa1,2f5610b9-b864-4c87-9ece-73c73aad85f5,iZotope Product Portal,1.4.9b409,Standalone,,,,
f13af292-129e-4548-a718-0c84a49a87a6,685459eb-d0e8-444b-b385-4f44a1f0d6d7,Korg Software Pass,1.3.13,Standalone,,,,
d6ec5a19-adb9-4ccf-af44-db3dc264c348,41b45c81-1a9b-4919-a33a-7ecb07176c22,MuseHub,2.9.0,Standalone,,,,
a2c64528-e95f-4c88-b3b8-34daae50c23b,725a2764-55b5-4e7c-a469-a4970c0aa267,Native Access,3.22.0,Standalone,,,,
f5eb5a07-297e-4fe1-9a16-706f0e6b9050,d052ae2f-45f6-4ca3-afc2-318cef074283,Output Hub,v2.0.21.308,Standalone,,,,
d7c95c0b-34f3-415c-911e-c98ed9e40ffd,0a6046f0-83a9-4d98-b12c-cee6eee51bc1,Reason Companion,3.0.18,Standalone,,,,Deprecated
76505d0c-6822-4b37-b307-8e6f102b992d,56967aa4-ef65-456d-9c0e-3e2c0846ddf6,Spitfire Audio,3.4.13,Standalone,,,,
553253b6-7496-49c0-8361-0fe273fbabe4,e0794cc7-d1f3-4432-8e83-cdc6052c1cc3,Steinberg Activation Manager,1.8.1.1383,Standalone,,,,
a0434fa0-3415-40b2-a9fd-65bbcc657832,e0794cc7-d1f3-4432-8e83-cdc6052c1cc3,Steinberg Download Assistant,1.39.3,Standalone,,,,
766aada8-aa43-404e-99bf-cb58b7f643ae,e0794cc7-d1f3-4432-8e83-cdc6052c1cc3,Steinberg Library Manager,3.2.71,Standalone,,,,
dab88e9c-55ed-4378-9a89-e1870a166a71,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,T-Racks 6 Modules Manager,6.3.0,Standalone,,,,
51dabe21-4f7a-4c89-8359-5ac24847128d,ced5a791-ce04-40a1-aaef-9837cd76de2a,Toontrack Product Manager,1.1.6.42669,Standalone,,,,
2094719a-5da7-4b7b-bc88-9f34a179d3c1,3db42cd7-d301-48f9-a79f-70e3adb4ee0c,UA Connect,1.9.0.3512,Standalone,,,,
a180df8d-1ba1-4ce1-bedc-b4cf396f3cdb,52ca057c-1c70-4093-81ad-720a2ba3ac60,Waves Central,16.1.6,Standalone,,,,
1dcc2961-c044-44b4-b098-9b101b554f72,db732f6f-f1e5-402e-ae06-529345991895,XLN Online Installer,4.5.0,Standalone,,,,
237850fd-8d4f-4b35-8eb3-a18cc54d7633,ffda3519-1fa9-450c-a1e9-baf74cf387df,BOSS Tone Studio,1.1.0 (26),Standalone,,Editor for BOSS Katana amp.,,Hardware
e0e4a56f-5e95-4684-bf99-757f9647690f,725a2764-55b5-4e7c-a469-a4970c0aa267,Controller Editor,2.8.2,Standalone,,Hardware editor for Komplete Kontrol MIDI controller.,,Hardware
f5dac687-14d8-4cdd-9bd7-8877f228cfb2,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,TONEX Editor,1.10.5,Standalone,,Hardware editor for TONEX pedal.,,Hardware
1278cd08-f340-4cd6-bd7f-b9ba54d5af6e,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,TONEX Modeler,1.10.5,Standalone,,AI-driven amp tone capture application.,,Hardware
