effect_id,brand_id,model_ids,effect_name,version,collection,effect_types,tool_types,plugin_formats,plugin_notes,workflow_notes,description,recording_notes,artist_reference,attributes,tags,parent_ids
9ec79edc-6301-4c7e-8aca-cc32bfa9d8ec,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,28520a2b-c5ce-41a2-9193-6dd78a343ad2,1x18 Horn Bass,,Amplitube Collection,,,,1x18 CAB,Acoustic 301 TOP,,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
d643cf57-9bf0-455b-8f27-0d0445f87732,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,6dc55c03-846e-4ed1-a49a-e6ed9a087b38,360Bass Preamp,,Amplitube Collection,,,,,Acoustic 360 ALT (Tone),,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
5ff951ef-004d-45f8-ad4c-a0ab5a4ca1f0,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,6e73d8ea-df5c-4689-b845-b2e98decd025,New York B750,,Amplitube Collection,,,,,Aguilar DB750 ALT (Tone),,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
71c2274e-ac10-4295-9778-aabbd3f678ec,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,231280e7-9bd3-4feb-b3c9-29fc25c3b517,1x15 Bass Vintage,,Amplitube Collection,,,,1x15 CAB,,,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
53bd7f33-5b2f-4206-82c1-530b587cd67f,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,37b9c165-c8d9-4219-9de7-3187b987f2d8,SVX-15N,,Amplitube SVX,,,,,B-15N ALT (Tone),,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
a194bb5e-6618-4cde-8d18-20f37f007c00,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,6a65394c-d82c-4ece-a80a-372cc8fc6b88,SVX-15R,,Amplitube SVX,,,,,B-15R ALT (Tone),,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
cbab1dec-2fa5-45c4-89c7-49530482323b,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,ed19a130-ac1a-4173-8757-f58a091310e0,SVX-500,,Amplitube SVX,,,,2x10,Ampeg BA500 ALT (Tone),,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
393da937-7d80-476c-9f4b-bff566238755,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,9af42de0-ec23-4eab-827e-23edd31235bc,SVX-410B,,Amplitube SVX,,,,,,,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
eca2c44e-e968-4ca9-ae29-e55db5673715,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,95854187-302f-47bb-aad8-3f29695ee0c6,SVX-212H,,Amplitube SVX,,,,,,,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
344ac1d6-156b-4257-97c6-810a20e926e6,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,a746f728-c532-474a-b538-4e721faa5042,SVX-PRO,,Amplitube SVX,,,,,Ampeg SVT-4 Pro ALT (Tone),,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
01c42f69-8d98-4f06-a208-265ef8190b20,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,20ef7c9d-5336-454a-897c-5da03f8f85eb,SVX-VR,,Amplitube SVX,,,,,Ampeg SVT-VR ALT (Tone),,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
afc7a53c-8de9-4cc6-bcf0-f742051eef6f,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,a1e1bf45-0a6f-417d-8253-7637b0eedd54,SVX-212 AV,,Amplitube SVX,,,,2x12,,,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
94630257-dbd0-49a8-aa91-a4b70765c54e,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,deb24d26-0114-4a1e-a7b1-bacee987dbc3,SVX-410S,,Amplitube SVX,,,,4x10,,,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
6e21624f-722f-4b0a-8ad7-8acdbe1f1ebe,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,5f726c28-98c1-4da5-a359-81b579c10a01,SVX-810 AV,,Amplitube SVX,,,,8x10,Ampeg SVT610HLF ALT (Tone),,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
28b80fc8-22b9-42f6-a1fd-694dabfb78f8,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,0fd51081-a4db-4218-a9a9-959fe78b19a7,SVX-810E,,Amplitube SVX,,,,,Ampeg SVT810E ALT (Tone),,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
2474c290-f779-4117-add1-6632d4555eee,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,9da11325-09db-440a-a2c3-31d16ced5904,SVX-4B,,Amplitube SVX,,,,,Ampeg V-4B ALT (Tone),,,,,"Bass,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
41992a27-5a8d-43ed-95a3-83283b221af3,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,3ab6f15b-f679-4785-905e-cac1469ff063,Tube Overdrive,,Joe Satriani Collection,Harmonic Coloration,,,,B.K. Butler Tube Driver ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
36f45473-1bd6-401a-b0bb-85f4416a5850,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,06f8be7e-2221-433b-bac8-f64583754180,Acoustic Sim,,Amplitube Collection,Delay,,,,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
2b893b07-adc1-48c2-ba90-bce8fd22126b,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,b4864be2-5ccd-4ba8-a063-75de422b21ec,Analog Chorus,,"Amplitube Collection
Amplitube SVX",Modulation,,,,Boss CE-1 ALT (Tone),,,,,"Guitar,Modeled,Stomp,Bass",effects:82257eff-56fc-40a1-b9cc-567c68a11861
d0511a3e-1068-42f1-b251-481faa8ceb1a,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,b348cdd8-7650-496e-b1fc-f0f05ff7783c,DDelay,,L.A. Rocker Collection,Delay,,,,Boss DD3 ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
57524331-9c2f-4e4b-9ad2-fcdcce457e45,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,99f85342-a64b-47fb-87c1-72b130b185c3,TapDelay,,Amplitube Collection,Delay,,,,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
1412cece-6cf7-46fa-b353-47950e5bdd07,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,700c67d7-82d6-4695-b0d5-7f9508116760,Feedback,,Amplitube Metal,Harmonic Coloration,,,,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
10926f58-4122-465e-907a-444d2de70e8c,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,28398815-1483-4338-9cae-1e5b5fe27d91,Satch Dist,,Joe Satriani Collection,Harmonic Coloration,,,,Boss DS-1 ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
e937dff1-bdbe-49a7-80bb-33f91807ec97,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,28398815-1483-4338-9cae-1e5b5fe27d91,X-DRIVE (Orange Setting),,X-Gear (X-DRIVE),Harmonic Coloration,,,,Boss DS-1 ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
802b8760-41d9-41c8-b85a-f6570e859bca,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,16cb7912-30df-483d-8867-0e223107d055,7 Band Graphic,,Amplitube Collection,EQ,,,,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
6385af4a-6559-45fb-aa5c-a8b7a86ae691,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,8c24e66a-a6cb-455e-a114-dc5c3baa2ff9,Metal Distortion 2,,Amplitube Metal,Harmonic Coloration,,,,Boss HM-2 ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
562e6e83-4896-41e5-9914-3485ad09b6a0,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,d42900f8-c1d5-4072-9aa2-1ab62f321454,Metal Distortion,,Amplitube Metal,Harmonic Coloration,,,,Boss MT-2 ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
e4c8b399-16c8-4c0b-b31a-b15baef1f6e5,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,d42900f8-c1d5-4072-9aa2-1ab62f321454,X-DRIVE (Metal Setting),,X-Gear (X-DRIVE),Harmonic Coloration,,,,Boss MT-2 ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
97bc0444-9848-403b-8265-c3133b824c3b,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,36c3c499-6746-4f62-b5f5-98631fbc4dca,Noise Gate,,Amplitube Collection,Dynamics,,,,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
9d527ff2-674a-4fdb-a0cc-7bed5583ce31,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,ef0c872b-fc31-42c4-9934-2039468a54fd,SVX-OCT,,Amplitube SVX,Pitch Tools,,,,Boss OC-2 ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
ff7dbfb9-f970-4cba-9a3d-0a18b0bcafd4,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,3814912c-c163-409f-96f6-fb4423419b66,Satch Overdrive,,Joe Satriani Collection,Harmonic Coloration,,,Early '80s Japanese Version,Boss OD-1 TOP,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
d5a70bb9-6d67-4651-a242-fb0eb07e2615,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,1b168b3a-fb23-4620-85f6-cb31a7d7187a,X-DRIVE (Yellow Setting),,X-Gear (X-DRIVE),Harmonic Coloration,,,,Boss SD-1 ALT (Tone),,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
c7cd98d3-0cb6-42ec-b5b1-4ce28bb9239c,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,4d3dc65d-205b-40bf-93f3-83bcab3416ec,Red Special,,Brian May Collection,Dynamics,,,based on Brian May's Red Special custom guitar,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
a297c0a3-6f5a-4441-a601-c91d73f1bfe8,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,399123fa-2bfe-4d5c-b4ba-1583498739d8,Booster,,L.A. Rocker Collection,Harmonic Coloration,,,,,,,,,"Guitar,Modeled,Stomp",effects:82257eff-56fc-40a1-b9cc-567c68a11861
bf46ebb7-6386-4550-9257-c0dc9885ae10,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,526f5a3e-dee6-4b95-bcb8-8be5b7926675,2x12 V3M,,Carvin Collection,,,,2x12 CAB,,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
82c86b59-4d34-4588-91c0-b14188a17962,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,99131aec-4bf5-473f-83f5-281aeb25ecfd,CV G12-16,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
1ab1612c-7ab1-4fa9-a431-4dce7c6c4c02,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,ce55f55a-2dd6-4343-a9c3-2957d557dbcc,V3M,,Carvin Collection,,,,(high-gain),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
d49de034-834e-4650-bc5c-337e04d61460,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,b8ecc47a-09d5-4275-8bc2-5e8d9b8a2f8b,Brit Alnico S,,,,,,1x12 CAB (Speaker),,,,,,"Guitar,Modeled",effects:82257eff-56fc-40a1-b9cc-567c68a11861
