workflow_tool_id,brand_id,tool_name,version,tool_types,plugin_formats,description,workflow_notes,tags
48f28c27-22be-4ae6-81c0-c06856bae2b2,3db42cd7-d301-48f9-a79f-70e3adb4ee0c,UAD Console,1.2.8.797,Standalone,,UAD hardware mixer and audio routing for Apollo interface.,<null>,
4bb67344-9213-4eaa-9e17-1c880f626f3a,ea8cd6c6-4d59-4e81-b9fa-889b421aaa31,Loopback,2.4.8,Standalone,,Virtual audio routing between applications on macOS.,<null>,
54c6b229-158a-405d-9c33-f24e0969ca8d,3edd4e7b-8665-4884-a0b1-8e5ee44b263d,Mapping Utility,1.3.2,Standalone,,MIDI mapping utility for 8Dio instruments.,<null>,
7fccdf56-7738-4876-94d1-1ad0403e1c57,62738450-80fd-4c4f-a634-8052e77c9865,Soundpaint Editor,4.5.0,Standalone,,Instrument and patch editor for Soundpaint.,<null>,
738d6c9d-d0a1-4a0e-b727-5a31aaec247f,ae7ca652-5568-4f38-abb1-ad32e012686f,V6 Plus,,Standalone,,Professional sound library browser and asset manager.,<null>,
0ca9eb83-9db0-4895-b601-2ab084142861,901dfeba-ae49-4168-995f-e8e47507694b,basehead Connect,2024.10,"Plugin,Standalone","AU,VST3",Sample Manager,,
21446f11-fc01-459a-b569-739af58a4445,e0794cc7-d1f3-4432-8e83-cdc6052c1cc3,VST Connect CUE Mix,,Plugin,VST3,(Cubase),,
9551ee9f-0fb1-4f41-b6d4-7f8f75e318b4,e0794cc7-d1f3-4432-8e83-cdc6052c1cc3,VST Connect Monitor,,Plugin,VST3,(Cubase),,
4fe0e995-3293-4b10-9d99-adacd8e1bfb4,e0794cc7-d1f3-4432-8e83-cdc6052c1cc3,VST Connect PRO,,Plugin,VST3,(Cubase),,
e5f95cdb-e4ed-40bb-84f6-625ac5fcb4a2,e0794cc7-d1f3-4432-8e83-cdc6052c1cc3,VST Connect SE,,Plugin,VST3,(Cubase),,
fc2d1d4f-7b54-45fb-9fa5-932bcb171900,52ca057c-1c70-4093-81ad-720a2ba3ac60,Cosmos Sample Finder,16.7.33,"Plugin,Standalone",AU,,,
af71baf1-1341-448b-8ef6-59d536c87c3d,52ca057c-1c70-4093-81ad-720a2ba3ac60,Stream Receive,16.7.33,Plugin,AU,share audio in real time,,
a0a4baa4-b641-4b4f-b8a0-e5da8389f6f6,52ca057c-1c70-4093-81ad-720a2ba3ac60,Stream Send,16.7.33,Plugin,AU,share audio in real time,,
