Name,Manufacturer,Category,Column 10,Form Factor,Tags,Version,Format,Model,Workflow Notes,Notes
8dio Downloader,8Dio,Administrative Tools,Administrative Tools,Standalone,,v0.1.26,,,,
Activation Manager 3,Ample Sound,Administrative Tools,Administrative Tools,Standalone,,1.0.0,,,,
Arturia Software Center,Arturia,Administrative Tools,Administrative Tools,Standalone,,2.12.0.3157,,,,
Auto-Tune Central,Antares,Administrative Tools,Administrative Tools,Standalone,,2.0.1.7200,,,,
BFD License Manager,BFD Drums,Administrative Tools,Administrative Tools,Standalone,,3.0.6.22,,,,
Custom Shop,IK Multimedia,Administrative Tools,Administrative Tools,Standalone,,2.0.0,,,,Allows to shop / purchase specific plugins from IK Multimedia
IK Product Manager,IK Multimedia,Administrative Tools,Administrative Tools,Standalone,,1.1.0,,,,
iLok License Manager,PACE Anti-Piracy,Administrative Tools,Administrative Tools,Standalone,,5.10.3,,,,
inMusic Software Center,inMusic,Administrative Tools,Administrative Tools,Standalone,,1.35.0,,,,
iZotope Product Portal,iZotope,Administrative Tools,Administrative Tools,Standalone,,1.4.9b409,,,,
Korg Software Pass,Korg,Administrative Tools,Administrative Tools,Standalone,,1.3.13,,,,
MuseHub,MuseHub,Administrative Tools,Administrative Tools,Standalone,,2.9.0,,,,
Native Access,Native Instruments,Administrative Tools,Administrative Tools,Standalone,,3.22.0,,,,
Output Hub,Output,Administrative Tools,Administrative Tools,Standalone,,v2.0.21.308,,,,
Reason Companion,Reason Studios,Administrative Tools,Administrative Tools,Standalone,Deprecated,3.0.18,,,,
Spitfire Audio,Spitfire Audio,Administrative Tools,Administrative Tools,Standalone,,3.4.13,,,,
Steinberg Activation Manager,Steinberg,Administrative Tools,Administrative Tools,Standalone,,1.8.1.1383,,,,
Steinberg Download Assistant,Steinberg,Administrative Tools,Administrative Tools,Standalone,,1.39.3,,,,
Steinberg Library Manager,Steinberg,Administrative Tools,Administrative Tools,Standalone,,3.2.71,,,,
T-Racks 6 Modules Manager,IK Multimedia,Administrative Tools,Administrative Tools,Standalone,,6.3.0,,,,
Toontrack Product Manager,Toontrack,Administrative Tools,Administrative Tools,Standalone,,1.1.6.42669,,,,
UA Connect,Universal Audio,Administrative Tools,Administrative Tools,Standalone,,1.9.0.3512,,,,
