Vendor Names,,Effects Categories,,Instrument Categories,,,Tags,,Effects Containers,,Instrument Containers,,Model Type,,Synth Parent,,App Categories,,Utility Categories
8Dio,,Amp & Cab,,Bass,,,Bass,,Amplitube,,BFD3,,Amp & Cab,,Ableton Live,,Administrative Tools,,Composition Tools
Ableton ,,Container,,Brass,,,Channel Strip,,BIAS Amp 2,,Cubase,,Bass,,Acid V,,Composition Tools,,Management Tools
Alexkid,,Delay,,Container,,,Deprecated,,BIAS FX 2,,Keyscape,,Channel Strip,,Analogue Wonder,,Container,,Metering & Signal
Ample Sound,,Dynamics,,Drums & Percussion,,,Drums,,BIAS X,,MODO Bass 2,,Console,,ARP 2600 V,,DAW / Workstation,,Reference Monitoring & Room Correction
Andrew Robertson,,EQ,,Guitars,,,Embedded,,Capitol Chambers,,MODO Drums,,Delay,,Aug. Brass,,Measurement & Diagnostics,,Spatial Tools
Antares,,Harmonic Coloration,,Keyboards,,,FILTER OUT,,Diezel Herbert,,Omnisphere,,Drums,,Aug. Grand Piano,,Workflow Tools,,
Arobas Music,,Microphone,,Pads & Textures,,,Guitar,,Diezel VH4,,Pianoverse,,Dynamics,,Aug. Strings,,,,
Arturia,,Modulation,,Pipes,,,Hardware,,Dream '65 Reverb Amp,,Reaktor,,EQ,,Aug. Voices,,,,
Audiomodern,,Pitch,,Rhythm,,,Live Sound,,Eden WT800,,Reason,,Harmonic Coloration,,Aug. Woodwinds,,,,
basehead,,Preamps,,Sampling,,,LOW DSP,,Engl Savage 120,,Syntronik,,Keyboard,,B-3 V2,,,,
BFD Drums,,Reverb & Room,,Sound Design,,,Mastering,,Fender Tweed Deluxe,,,,Microphone,,Backbone,,,,
Celemony,,Spatial Imaging,,Strings,,,Modeled,,Friedman Buxom Betty,,,,Modulation,,Battery 4,,,,
Cycling '74,,Time / Phase,,Synth,,,REMOVE,,Fuchs Train II,,,,Multi Effects,,BFD3,,,,
Dillon Bastan,,,,Vocal,,,Restoration,,GTR Amp,,,,Pitch Tools,,Buchla Easel V,,,,
