Name,Manufacturer,Category,Sorted Category,Tags,Sorted Tags,Parent,Model,Series / Collection,Plugin Notes,Workflow Notes,Recording Notes,Form Factor,Format,Version,,,,,,,,,
4038,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Coles 4038,,,Coles 4038 ALT (Tone),,,,,,,,,,,,,
44,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,RCA 44,,,,,,,,,,,,,,,,
460B/CK61-ULS,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG 460B (CK61-ULS capsule),,,,,,,,,,,,,,,,
635A,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Electro-Voice 635A,,,,,,,,,,,,,,,,
95Ni,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,CAD D90,,,,,,,,,,,,,,,,
AM61,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Alesis AM61,,,,,,,,,,,,,,,,
AT 4033a/Sm,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica AT4033a/SM,,,,,,,,,,,,,,,,
AT 4047/SV,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica AT4047/SV,,,,,,,,,,,,,,,,
AT 4050,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica AT4050,,,,,,,,,,,,,,,,
AT 4051,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica AT4051b,,,,,,,,,,,,,,,,
AT 4055,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica AT4055,,,,,,,,,,,,,,,,
AT 4060,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica AT4060,,,,,,,,,,,,,,,,
AT2020,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica AT2020,,,,,,,,,,,,,,,,
AT3525,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica AT3525,,,,,,,,,,,,,,,,
AT813a,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica AT813a,,,,,,,,,,,,,,,,
AT853Rx,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica AT853Rx,,,,,,,,,,,,,,,,
ATM11,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica ATM11,,,,,,,,,,,,,,,,
ATM25,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica ATM25,,,,,,,,,,,,,,,,
ATM31,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audio-Technica ATM31,,,,,,,,,,,,,,,,
Beta 52,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure Beta 52,,,,,,,,,,,,,,,,
Beta 57A,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure Beta 57A,,,,,,,,,,,,,,,,
Beta 58,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure Beta 58A,,,,,,,,,,,,,,,,
Beta 87A,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure Beta 87A,,,,,,,,,,,,,,,,
Beta 98D/S,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure Beta 98D/S,,,,,,,,,,,,,,,,
BK5A,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,RCA BK5A,,,,,,,,,,,,,,,,
Blueberry,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Blue Blueberry,,,,,,,,,,,,,,,,
Bluebird,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Blue Bluebird,,,,,,,,,,,,,,,,
C 3000,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG C3000,,,,,,,,,,,,,,,,
C 4000 B,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG C4000B,,,,,,,,,,,,,,,,
C1000S,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG C1000S,,,,,,,,,,,,,,,,
C12A,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG C12A,,,AKG C12A ALT (Tone),,,,,,,,,,,,,
C12VR,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG C12VR,,,,,,,,,,,,,,,,
C37P,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Sony C37P,,,Sony C37P ALT (Tone),,,,,,,,,,,,,
C400S,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,CAD C400S,,,,,,,,,,,,,,,,
C414,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG C414 XLS,,,AKG C414 XLS ALT (Tone),,,,,,,,,,,,,
C414/ULS,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG C414/ULS,,,AKG C414/ULS ALT (Tone),,,,,,,,,,,,,
C414/ULS (mod1),Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG C414/ULS,,Modified by Audio Upgrades,AKG C414/ULS ALT (Tone),,,,,,,,,,,,,
C414/ULS (mod2),Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG C414/ULS,,Modified by Jim Williams,AKG C414/ULS ALT (Tone),,,,,,,,,,,,,
C414EB,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG C414 EB,,,AKG C414 EB ALT (Tone) ,,,,,,,,,,,,,
C48,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Sony C48,,,,,,,,,,,,,,,,
C535 EB,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG C535 EB,,,,,,,,,,,,,,,,
C800G,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Sony C800G,,,Sony C800G TOP ALT (Tone),,,,,,,,,,,,,
CR-3A,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Manley Langevin CR-3A,,,,,,,,,,,,,,,,
CX111,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audix CX111,,,,,,,,,,,,,,,,
D1,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audix D1,,,,,,,,,,,,,,,,
D112,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG D112,,,AKG D112 ALT (Tone),,,,,,,,,,,,,
D4,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audix D4,,,,,,,,,,,,,,,,
D790,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG D790,,,,,,,,,,,,,,,,
E609,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Sennheiser e609,,,Sennheiser e609 ALT (Tone),,,,,,,,,,,,,
E835S,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Sennheiser e835s,,,,,,,,,,,,,,,,
ELA M 251,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Telefunken ELA M 251,,,Telefunken ELA M 251 ALT (Tone),,,,,,,,,,,,,
Equitek E100,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,CAD E100,,,,,,,,,,,,,,,,
Equitek E200,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,CAD E200,,,,,,,,,,,,,,,,
Equitek E350,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,CAD E350,,,,,,,,,,,,,,,,
Gefell UMT 800,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,MicroTech Gefell UMT800,,,,,,,,,,,,,,,,
K6-ME64,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Sennheiser ME64,,,,,,,,,,,,,,,,
KM 184,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Neumann KM184,,,,,,,,,,,,,,,,
KM 84,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Neumann KM84,,,Neumann KM84 ALT (Tone),,,,,,,,,,,,,
KSM141,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure KSM141,,,,,,,,,,,,,,,,
KSM32,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure KSM32,,,,,,,,,,,,,,,,
L47MP,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Lawson L47MP,,,,,,,,,,,,,,,,
Large Vintage Ribbon,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Tannoy Large Vintage Ribbon,,,,,,,,,,,,,,,,
M 149,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Neumann M149,,,,,,,,,,,,,,,,
M-500,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Beyerdynamic M500,,,,,,,,,,,,,,,,
M-500 Limited Edition Classic (Silver),Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Beyerdynamic M500,,Limited Edition Classic (Silver),,,,,,,,,,,,,,
MC-012,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Oktava MC012,,,,,,,,,,,,,,,,
MC-834,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Beyerdynamic MC834,,,,,,,,,,,,,,,,
MD-1,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Groove Tubes MD1a,,,,,,,,,,,,,,,,
MD421,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Sennheiser MD421,,,Sennheiser MD421 ALT (None),,,,,,,,,,,,,
MD441,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Sennheiser MD441,,,Sennheiser MD441 ALT (Tone),,,,,,,,,,,,,
MK-219,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Oktava MK219,,,,,,,,,,,,,,,,
MK-319,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Oktava MK319,,,,,,,,,,,,,,,,
Mouse,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Blue Mouse,,,,,,,,,,,,,,,,
MXL 2001P,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,MXL 2001,,,,,,,,,,,,,,,,
MXL 2003,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,MXL 2003A,,,,,,,,,,,,,,,,
N/D357,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Electro-Voice N/D357,,,,,,,,,,,,,,,,
N/D767A,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Electro-Voice N/D767A,,,,,,,,,,,,,,,,
N/D868,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Electro-Voice N/D868,,,,,,,,,,,,,,,,
NT1,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Rode NT1,,,,,,,,,,,,,,,,
NT1-A,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Rode NT1-A,,,,,,,,,,,,,,,,
NT2,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Rode NT2,,,,,,,,,,,,,,,,
NTV,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Rode NTV,,,,,,,,,,,,,,,,
OM2,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audix OM2,,,,,,,,,,,,,,,,
OM3-xb,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audix OM3xb,,,,,,,,,,,,,,,,
OM5,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audix OM5,,,,,,,,,,,,,,,,
OM6,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audix OM6,,,,,,,,,,,,,,,,
Perception 120,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG P120,,,,,,,,,,,,,,,,
Perception 220,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG P220,,,,,,,,,,,,,,,,
PL20,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Electro-Voice PL20,,,,,,,,,,,,,,,,
QTC1,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Earthworks QTC1,,,,,,,,,,,,,,,,
R-121,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Royer R121,,,Royer R121 ALT (Tone),,,,,,,,,,,,,
R44C,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AEA R44C,,,,,,,,,,,,,,,,
RE15,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Electro-Voice RE15,,,,,,,,,,,,,,,,
RE16,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Electro-Voice RE16,,,,,,,,,,,,,,,,
RE55,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Electro-Voice RE55,,,,,,,,,,,,,,,,
Reference Gold,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Manley Reference Gold,,,,,,,,,,,,,,,,
SCX1,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Audix SCX1,,,,,,,,,,,,,,,,
SM57,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure SM57,,,Shure SM57 ALT (None),,,,,,,,,,,,,
SM58,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure SM58,,,Shure SM58 ALT (Tone),,,,,,,,,,,,,
SM7A,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure SM7A,,,,,,,,,,,,,,,,
SM81,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure SM81,,,,,,,,,,,,,,,,
SM98A,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Shure SM98A,,,,,,,,,,,,,,,,
Small Vintage Ribbon,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Tannoy Small Vintage Ribbon,,,,,,,,,,,,,,,,
Solid Tube,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG Solidtube,,,,,,,,,,,,,,,,
TC30K,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Earthworks TC30,,,,,,,,,,,,,,,,
The Bottle w/ B6 Capsule,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Blue The Bottle (B6 Capsule),,,,,,,,,,,,,,,,
The Tube,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,AKG The Tube,,,,,,,,,,,,,,,,
TLM 103,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Neumann TLM103,,,Neumann TLM103 ALT (Tone),,,,,,,,,,,,,
TLM 193,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Neumann TLM193,,,,,,,,,,,,,,,,
Type 4007,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Bruel & Kjaer Type 4007,,,,,,,,,,,,,,,,
U-47,Antares,Microphone,Microphone,Modeled,Modeled,Mic Mod,Telefunken U47,,Modeled w/ Original Tube,,,,,,,,,,,,,,
