Name,Manufacturer,Category,Placeholder (Sorted Category) ,Form Factor,Tags,Sorted Tags,Parent,Version,Format,Model,Plugin Notes,Instrument Notes,Recording Notes,Column 12,Column 13,Column 14,Column 15
2-Osc,Native Instruments,Synth,Synth,,,,Reaktor,,,,,classic subtractive synth (oscillator - filter - effect) ,,,,,
60's P Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Fender Precision Bass,(1960s),"4 Strings; Passive, 60s P NSC Pickups","(rock, jazz, funk)",,,,
70's J Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Fender Jazz Bass,(1970s),"4 Strings; Passive, 70s J NSC & BSC Pickups","(disco, funk)",,,,
70's P Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Fender Precision Bass,(1970s),"4 Strings; Passive, 70s P NSC Pickups ","(rock, classic rock, metal)",,,,
Absynth 6,Native Instruments,Synth,Synth,"Plugin, Standalone",,,,6.0.2,"AU, VST3",,,Semi-modular synthesizer,,,,,
Acid V,Arturia,"Bass, Synth","Bass, Synth","Plugin, Standalone","Bass, Modeled","Bass, Modeled",,1.1.5.63.67,"AU, VST3",Roland TB-303,,,,,,,
Addictive Keys,XLN Audio,Keyboards,Keyboards,"Plugin, Standalone",,,,1.7.3,"AU, VST3",,,,,,,,
Aerobic,Native Instruments,"Drums & Percussion, Rhythm","Drums & Percussion, Rhythm",,Drums,Drums,Reaktor,,,,,drum synth / step sequencer,,,,,
Akkord,Native Instruments,Synth,Synth,,,,Reaktor,,,,,hybrid additive / FM synth,,,,,
Aluminum,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Noah Paraffina,,"4 Strings; Active, Alm SC",(experimental) ,,,,
Ambient Dreams,Spectrasonics,"Bass, Drums & Percussion, Guitars, Keyboards, Pads & Textures, Rhythm, Strings, Synth, Vocal, Woodwinds","Bass, Drums & Percussion, Guitars, Keyboards, Pads & Textures, Rhythm, Strings, Synth, Vocal, Woodwinds",,,,Omnisphere,,,,,,,,,,
Ample Bass A,Ample Sound,Bass,Bass,Plugin,"Bass, Modeled","Bass, Modeled",,4.0.1,"AU, VST3",Guild B-54 Acoustic Bass,,,,,,,
Ample Bass J,Ample Sound,Bass,Bass,Plugin,"Bass, Modeled","Bass, Modeled",,4.0.1,"AU, VST3",Fender Johnny English Masterbuilt Jazz Bass,,,,,,,
Ample Bass JF,Ample Sound,Bass,Bass,Plugin,"Bass, Modeled","Bass, Modeled",,4.0.1,"AU, VST3",Fender Jaco Pastorius Relic Fretless Jazz Bass,,,,,,,
Ample Bass P,Ample Sound,Bass,Bass,Plugin,"Bass, Modeled","Bass, Modeled",,4.0.1,"AU, VST3",Fender Precision Bass,,,,,,,
Ample Bass TR6,Ample Sound,Bass,Bass,Plugin,"Bass, Modeled","Bass, Modeled",,4.0.1,"AU, VST3",Yamaha TRBJP2 ,John Pattituci Signature Model,6 Strings,,,,,
Ample Bass U,Ample Sound,Bass,Bass,Plugin,Bass,Bass,,4.0.1,"AU, VST3",,,Virtual Upright Bass,,,,,
Ample Bass Y,Ample Sound,Bass,Bass,Plugin,"Bass, Modeled","Bass, Modeled",,4.0.1,"AU, VST3",Fodera Yin Yang,,,,,,,
Ample Metal R,Ample Sound,Bass,Bass,Plugin,"Bass, Modeled","Bass, Modeled",,4.0.1,"AU, VST3",Ernie Ball Music Man StingRay 5 Retro '70s ,,5 Strings,,,,,
Analog Lab V,Arturia,Container,Container,"Plugin, Standalone",,,,5.12.2.6463,"AU, VST3",,Central Hub for Arturia V Collection,,,,,,
Analog Vibes,Spectrasonics,"Bass, Drums & Percussion, Keyboards, Pads & Textures, Strings, Synth, Vocal, Rhythm","Bass, Drums & Percussion, Keyboards, Pads & Textures, Rhythm, Strings, Synth, Vocal",,,,Omnisphere,,,,,,,,,,
Anthem Synth,Universal Audio,Synth,Synth,Plugin,,,,1.0.2,UADx,,,,,,,,
ARP ,Universal Audio,Synth,Synth,Plugin,,,,1.1.4,UADx,,,,,,,,
ARP 2600,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.2.1,"AU, VST3",ARP 2600,,,,,,,
ARP 2600 V3,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,3.13.4.6366,"AU, VST3",ARP 2600,,,,,,,
ARP Odyssey,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.5.3,"AU, VST3",ARP Odyssey,,,,,,,
Atmosphere Library,Spectrasonics,"Bass, Drums & Percussion, Pads & Textures, Strings, Rhythm, Synth, Keyboards","Bass, Drums & Percussion, Keyboards, Pads & Textures, Rhythm, Strings, Synth",,,,Omnisphere,,,,(Legacy) NOTE: (Various models on patch by patch basis),,,,,,
Atmotion,Native Instruments,Pads & Textures,Pads & Textures,,,,Reaktor,,,,creates moving sounds (pads / atmospheres / special effects) ,,,,,,
Augmented BRASS,Arturia,Brass,Brass,"Plugin, Standalone",,,,2.0.2.6369,"AU, VST3",,,"sampled brass, or synth (Analog, Wavetable, Granular, Simpler, Harmonic)",,,,,
Augmented GRAND PIANO,Arturia,Keyboards,Keyboards,"Plugin, Standalone",,,,2.0.2.6369,"AU, VST3",,,"sampled piano, or synth (Analog, Wavetable, Granular, Simpler, Harmonic)",,,,,
Augmented MALLETS,Arturia,Drums & Percussion,Drums & Percussion,"Plugin, Standalone",Drums,Drums,,2.0.2.6369,"AU, VST3",,,,,,,,
Augmented STRINGS,Arturia,Strings,Strings,"Plugin, Standalone",,,,2.0.2.6369,"AU, VST3",,,"sampled strings, or synth (Analog, Wavetable, Granular, Simpler, Harmonic)",,,,,
Augmented VOICES,Arturia,Vocal,Vocal,"Plugin, Standalone",Voice,Voice,,2.0.2.6369,"AU, VST3",,,"sampled voices, or synth (Analog, Wavetable, Granular, Simpler, Harmonic)",,,,,
