name,manufacturerName,Tags,System,Sorted System,Models,Notes,Instruments / Tags? 
Aetheria Choir,8Dio,,Kontakt,Kontakt,,,
Anthology Strings,8Dio,,Kontakt,Kontakt,,,
CAGE Bundle,8Dio,,Kontakt,Kontakt,,,
Century Ensemble Brass Bundle,8Dio,,Kontakt,Kontakt,,,
Century Ostinato Strings,8Dio,,Kontakt,Kontakt,,,
Century Ostinato Strings II,8Dio,,Kontakt,Kontakt,,,
Century Strings,8Dio,,Kontakt,Kontakt,,,
Claire Woodwinds,8Dio,,Kontakt,Kontakt,,,
Deep Solo Violin,8Dio,,Kontakt,Kontakt,,,
Hybrid Tools - Eternal Darkness,8Dio,,Kontakt,Kontakt,,,
Hybrid Tools 4,8Dio,,Kontakt,Kontakt,,,
Hybrid Tools NEO,8Dio,,Kontakt,Kontakt,,,
Hybrid Tools Terminus,8Dio,,Kontakt,Kontakt,,,
Insolidus Choir,8Dio,,Kontakt,Kontakt,,,
Intimate Studio Strings,8Dio,,Kontakt,Kontakt,,,
Lacrimosa Choir,8Dio,,Kontakt,Kontakt,,,
Legion Series 33 Drummer Batacuda,8Dio,,Kontakt,Kontakt,,,
Legion Series 66 Cellos,8Dio,,Kontakt,Kontakt,,,
Legion Series 66 Trombones,8Dio,,Kontakt,Kontakt,,,
Liberis Angelic Choir,8Dio,,Kontakt,Kontakt,,,
Majestica Professional,8Dio,,Kontakt,Kontakt,,,
Requiem Professional,8Dio,,Kontakt,Kontakt,,,
Silka ,8Dio,,Kontakt,Kontakt,,(Load from File System) ,
Studio Sopranos,8Dio,,Kontakt,Kontakt,,,
3 Duduks,8Dio,,Soundpaint,Soundpaint,,World,
Bansuri Virtuoso,8Dio,,Soundpaint,Soundpaint,,World,
Bulbul Tarang,8Dio,,Soundpaint,Soundpaint,,World,
Duduk Virtuoso,8Dio,,Soundpaint,Soundpaint,,World,
Pan Flute,8Dio,,Soundpaint,Soundpaint,,World,
Pop Instrumental,8Dio,,Soundpaint,Soundpaint,,Drums and Percussion (Sound Effect) ,
Santur,8Dio,,Soundpaint,Soundpaint,,World,
Sitar,8Dio,,Soundpaint,Soundpaint,,World,
Beat Tools,Ableton ,,Ableton Live,Ableton Live,,,
Build and Drop,Ableton ,,Ableton Live,Ableton Live,,,
Building Max Devices,Ableton ,,Ableton Live,Ableton Live,,,
Chop and Swing,Ableton ,,Ableton Live,Ableton Live,,,
Connection Kit,Ableton ,,Ableton Live,Ableton Live,,,
Convolution Reverb,Ableton ,,Ableton Live,Ableton Live,,,
Core Library,Ableton ,,Ableton Live,Ableton Live,,,
Creative Extensions,Ableton ,,Ableton Live,Ableton Live,,,
CV Tools,Ableton ,,Ableton Live,Ableton Live,,,
Drive and Glow,Ableton ,,Ableton Live,Ableton Live,,,
Drone Lab,Ableton ,,Ableton Live,Ableton Live,,,
Drum Booth,Ableton ,,Ableton Live,Ableton Live,,,
Drum Essentials,Ableton ,,Ableton Live,Ableton Live,,,
Electric Keyboards,Ableton ,,Ableton Live,Ableton Live,,,
Expressive Chords,Ableton ,,Ableton Live,Ableton Live,,,
Glitch And Wash,Ableton ,,Ableton Live,Ableton Live,,,
Granulator III,Ableton ,,Ableton Live,Ableton Live,,,
Latin Percussion,Ableton ,,Ableton Live,Ableton Live,,,
Lost and Found,Ableton ,,Ableton Live,Ableton Live,,,
Max for Live Essentials,Ableton ,,Ableton Live,Ableton Live,,,
Microtuner,Ableton ,,Ableton Live,Ableton Live,,,
Mood Reel,Ableton ,,Ableton Live,Ableton Live,,,
Orchestral Brass,Ableton ,,Ableton Live,Ableton Live,,,
Orchestral Mallets,Ableton ,,Ableton Live,Ableton Live,,,
Orchestral Strings,Ableton ,,Ableton Live,Ableton Live,,,
Orchestral Woodwinds,Ableton ,,Ableton Live,Ableton Live,,,
Punch and Tilt,Ableton ,,Ableton Live,Ableton Live,,,
Sequencers,Ableton ,,Ableton Live,Ableton Live,,,
Session Drums Club,Ableton ,,Ableton Live,Ableton Live,,,
Session Drums Multimic,Ableton ,,Ableton Live,Ableton Live,,,
Session Drums Studio,Ableton ,,Ableton Live,Ableton Live,,,
Singularities,Ableton ,,Ableton Live,Ableton Live,,,
Skitter and Step,Ableton ,,Ableton Live,Ableton Live,,,
Surround Panner,Ableton ,,Ableton Live,Ableton Live,,,
Synth Essentials,Ableton ,,Ableton Live,Ableton Live,,,
Voice Box,Ableton ,,Ableton Live,Ableton Live,,,
Instant Haus,Alexkid,,Ableton Live,Ableton Live,,,
BeatSeeker,Andrew Robertson,,Ableton Live,Ableton Live,,,
Hyper Rave,Arturia,,"Acid V , Aug. Voices , Korg MS-20 V , Mini V4 , MiniFreak V , Prophet-VS, SQ80 V","Acid V , Aug. Voices , Korg MS-20 V , Mini V4 , MiniFreak V , Prophet-VS, SQ80 V",,,
Beyond Cinematic,Arturia,,"Acid V, ARP 2600 V, Aug. Brass, Aug. Grand Piano, Aug. Strings, Aug. Voices, Aug. Woodwinds, Buchla Easel V, SEM V2, CS-80 V4, SQ80 V, Farfisa V, Prophet-5, Jun-6 V, Jup-8 V, Piano V3, Korg MS-20 V, Mini V4, MiniFreak V, Matrix-12 V2, OP-Xa V, Pigments, Prophet-VS, Solina V2, Stage-73 V2, Synclavier V, Synthi V","Acid V, ARP 2600 V, Aug. Brass, Aug. Grand Piano, Aug. Strings, Aug. Voices, Aug. Woodwinds, Buchla Easel V, CS-80 V4, Farfisa V, Jun-6 V, Jup-8 V, Korg MS-20 V, Matrix-12 V2, Mini V4, MiniFreak V, OP-Xa V, Piano V3, Pigments, Prophet-5, Prophet-VS, SEM V2, Solina V2, SQ80 V, Stage-73 V2, Synclavier V, Synthi V",,,
Beyond Synthwave,Arturia,,"Acid V, Aug. Brass, Aug. Strings, Aug. Voices, CS-80 V4, Jun-6 V, Jup-8 V, Jup-8000 V, Korg MS-20 V, Mini V4, MiniBrute V, MiniFreak V, OP-Xa V, Pigments, Prophet-5, Prophet-VS, Pure LoFI, SEM V3, SQ80 V, Synclavier V, Synthx V","Acid V, Aug. Brass, Aug. Strings, Aug. Voices, CS-80 V4, Jun-6 V, Jup-8 V, Jup-8000 V, Korg MS-20 V, Mini V4, MiniBrute V, MiniFreak V, OP-Xa V, Pigments, Prophet-5, Prophet-VS, Pure LoFI, SEM V3, SQ80 V, Synclavier V, Synthx V",,,
Beyond Beats,Arturia,,"Acid V, B-3 V2, Buchla Easel V, Clavinet V, CMI V, CS-80 V4, CZ V, DX7 V, Emulator II V, Jun-6 V, Jup-8 V, Korg MS-20 V, Mini V4, MiniFreak V, OP-Xa V, Piano V3, Pigments, Prophet-5, Solina V2, SQ80 V, Stage-73 V2, Synclavier V, Synthi V, Wurli V3","Acid V, B-3 V2, Buchla Easel V, Clavinet V, CMI V, CS-80 V4, CZ V, DX7 V, Emulator II V, Jun-6 V, Jup-8 V, Korg MS-20 V, Mini V4, MiniFreak V, OP-Xa V, Piano V3, Pigments, Prophet-5, Solina V2, SQ80 V, Stage-73 V2, Synclavier V, Synthi V, Wurli V3",,,
Industrial Force,Arturia,,"Acid V, Pigments","Acid V, Pigments",,,
The Witcher Tribute,Arturia,,"ARP 2600 V , Buchla Easel V , CMI V , Emulator II V , Jun-6 V , Jup-8 V , Matrix-12 V2 , Mellotron V , Pigments, Solina V2, SQ80 V, Synthi V, Piano V3, CS-80 V4","ARP 2600 V , Buchla Easel V , CMI V , CS-80 V4, Emulator II V , Jun-6 V , Jup-8 V , Matrix-12 V2 , Mellotron V , Piano V3, Pigments, Solina V2, SQ80 V, Synthi V",,,
Past to the Future,Arturia,,"ARP 2600 V , Clavinet V , CMI V , DX7 V , Farfisa V , Matrix-12 V2 , Modular V2 , SEM V2, Solina V2, Synclavier V, VOX Continental V2, B-3 V2, Wurli V3, Stage-73 V2, Prophet-5, Piano V3, Mini V4, Jup-8 V, CS-80 V4","ARP 2600 V , B-3 V2, Clavinet V , CMI V , CS-80 V4, DX7 V , Farfisa V , Jup-8 V, Matrix-12 V2 , Mini V4, Modular V2 , Piano V3, Prophet-5, SEM V2, Solina V2, Stage-73 V2, Synclavier V, VOX Continental V2, Wurli V3",,,
Vintouch Vol 1,Arturia,,"ARP 2600 V , CS-80 V4 , Emulator II V , Jun-6 V , Pigments, Prophet-5, Prophet-VS, SQ80 V, Stage-73 V2, Piano V3, Jup-8 V, DX7 V, CZ V","ARP 2600 V , CS-80 V4 , CZ V, DX7 V, Emulator II V , Jun-6 V , Jup-8 V, Piano V3, Pigments, Prophet-5, Prophet-VS, SQ80 V, Stage-73 V2",,,
Stevie Wonder Tribute,Arturia,,"ARP 2600 V, Aug. Strings, B-3 V2, Clavinet V, Stage-73 V2, Solina V2, Prophet-5, Pigments, OP-Xa V, Mini V4, DX7 V, CS-80 V4","ARP 2600 V, Aug. Strings, B-3 V2, Clavinet V, CS-80 V4, DX7 V, Mini V4, OP-Xa V, Pigments, Prophet-5, Solina V2, Stage-73 V2",,,
Inward Universe,Arturia,,"Aug. Brass , Aug. Grand Piano , Aug. Strings , Aug. Voices , CS-80 V4 , DX7 V , Jup-8 V , MiniFreak V , Piano V3 , Synclavier V","Aug. Brass , Aug. Grand Piano , Aug. Strings , Aug. Voices , CS-80 V4 , DX7 V , Jup-8 V , MiniFreak V , Piano V3 , Synclavier V",,,
Oppenheimer Tribute,Arturia,,"Aug. Brass, Aug. Grand Piano, Aug. Strings, Aug. Voices, Aug. Woodwinds, Stage-73 V2, SQ80 V, Prophet-5, Pigments, Piano V3, OP-Xa V, MiniFreak V, Mini V4, Mellotron V, Jup-8 V, Emulator II V, DX7 V, CS-80 V4","Aug. Brass, Aug. Grand Piano, Aug. Strings, Aug. Voices, Aug. Woodwinds, CS-80 V4, DX7 V, Emulator II V, Jup-8 V, Mellotron V, Mini V4, MiniFreak V, OP-Xa V, Piano V3, Pigments, Prophet-5, SQ80 V, Stage-73 V2",,,
Damaged Pianos,Arturia,,Aug. Grand Piano,Aug. Grand Piano,,,
Inner City Soul,Arturia,,"Aug. Grand Piano , B-3 V2 , CZ V , Jun-6 V , Mellotron V , Mini V4 , Piano V3 , Prophet-5, Stage-73 V2, Wurli V3","Aug. Grand Piano , B-3 V2 , CZ V , Jun-6 V , Mellotron V , Mini V4 , Piano V3 , Prophet-5, Stage-73 V2, Wurli V3",,,
Beyond Shadows,Arturia,,"Aug. Strings, Aug. Voices, CS-80 V4, Jun-6 V, Jup-8 V, Jup-8000 V, Mellotron V, MiniFreak V, OP-Xa V, Pigments, Pure LoFI, SEM V3, Solina V2, SQ80 V, Wurli V3","Aug. Strings, Aug. Voices, CS-80 V4, Jun-6 V, Jup-8 V, Jup-8000 V, Mellotron V, MiniFreak V, OP-Xa V, Pigments, Pure LoFI, SEM V3, Solina V2, SQ80 V, Wurli V3",,,
Folkloric Strings,Arturia,,"Aug. Strings, CMI V, CS-80 V4, Emulator II V, Jun-6 V, Mellotron V, MiniFreak V, Solina V2, Synclavier V","Aug. Strings, CMI V, CS-80 V4, Emulator II V, Jun-6 V, Mellotron V, MiniFreak V, Solina V2, Synclavier V",,,
Dream Theater Tribute,Arturia,,"B-3 V2 , CMI V , Emulator II V , Jup-8 V , OP-Xa V , Pigments, Piano V3","B-3 V2 , CMI V , Emulator II V , Jup-8 V , OP-Xa V , Piano V3, Pigments",,,
Beyond Soul,Arturia,,"B-3 V2, CZ V, Farfisa V, Pure LoFI, Jun-6 V, Jup-8 V, Jup-8000 V, Mellotron V, Mini V4, MiniBrute V, MiniFreak V, OP-Xa V, Pigments, Prophet-5, Solina V2, SQ80 V, Stage-73 V2, Synclavier V, Vocoder V, Wurli V3","B-3 V2, CZ V, Farfisa V, Jun-6 V, Jup-8 V, Jup-8000 V, Mellotron V, Mini V4, MiniBrute V, MiniFreak V, OP-Xa V, Pigments, Prophet-5, Pure LoFI, Solina V2, SQ80 V, Stage-73 V2, Synclavier V, Vocoder V, Wurli V3",,,
Beyond Pop,Arturia,,"B-3 V2, DX7 V, Clavinet V, CS-80 V4, Emulator II V, Farfisa V, Jun-6 V, Mini V4, Jup-8 V, MiniFreak V, OP-Xa V, Piano V3, SEM V2, Pigments, Prophet-5, Prophet-VS, Solina V2, SQ80 V, Stage-73 V2, Wurli V3","B-3 V2, Clavinet V, CS-80 V4, DX7 V, Emulator II V, Farfisa V, Jun-6 V, Jup-8 V, Mini V4, MiniFreak V, OP-Xa V, Piano V3, Pigments, Prophet-5, Prophet-VS, SEM V2, Solina V2, SQ80 V, Stage-73 V2, Wurli V3",,,
Floyd Tribute III,Arturia,,"B-3 V2, Wurli V3, Synclavier V, Jup-8 V, Stage-73 V2, SQ80 V, Solina V2, Prophet-5, Pigments, Piano V3, MiniFreak V, Emulator II V, Mini V4, Jun-6 V, CMI V","B-3 V2, CMI V, Emulator II V, Jun-6 V, Jup-8 V, Mini V4, MiniFreak V, Piano V3, Pigments, Prophet-5, Solina V2, SQ80 V, Stage-73 V2, Synclavier V, Wurli V3",,,
ELP Tribute,Arturia,,"Clavinet V , Modular V2 , B-3 V2, Mini V4, CS-80 V4","B-3 V2, Clavinet V , CS-80 V4, Mini V4, Modular V2 ",,,
Daft Tribute,Arturia,,"CMI V , CZ V , Pigments, Prophet-5","CMI V , CZ V , Pigments, Prophet-5",,,
Kavinsky Tribute,Arturia,,"CMI V , Matrix-12 V2 , Modular V2 , Pigments, Solina V2, Synthi V, Buchla Easel V, Prophet-5, Mini V4","Buchla Easel V, CMI V , Matrix-12 V2 , Mini V4, Modular V2 , Pigments, Prophet-5, Solina V2, Synthi V",,,
Vangelis Tribute 3,Arturia,,"CS-80 V4 , Jup-8 V , Korg MS-20 V , Matrix-12 V2 , Mellotron V , OP-Xa V , Pigments, Prophet-5, SEM V2, Stage-73 V2, Piano V3","CS-80 V4 , Jup-8 V , Korg MS-20 V , Matrix-12 V2 , Mellotron V , OP-Xa V , Piano V3, Pigments, Prophet-5, SEM V2, Stage-73 V2",,,
JSPA,Arturia,,"CS-80 V4 , Korg MS-20 V , Prophet-5, SQ80 V","CS-80 V4 , Korg MS-20 V , Prophet-5, SQ80 V",,,
Lyli's Signature,Arturia,,"DX7 V , Mini V4","DX7 V , Mini V4",,,
MiniBrute Funk,Arturia,,MiniBrute V,MiniBrute V,,,
Fantasy Synths,Arturia,,MiniFreak V,MiniFreak V,,,
MiniFreak 4.0,Arturia,,MiniFreak V ,MiniFreak V ,,,
Synthetic Trap,Arturia,,MiniFreak V ,MiniFreak V ,,,
Timecop1983,Arturia,,"MiniFreak V, Jun-6 V, Prophet-5, OP-Xa V","Jun-6 V, MiniFreak V, OP-Xa V, Prophet-5",,,
Tangerine Tribute,Arturia,,"Modular V2 , Jup-8 V","Jup-8 V, Modular V2 ",,,
Kraft Tribute,Arturia,,"Modular V2 , Prophet-5","Modular V2 , Prophet-5",,,
Floyd Tribute,Arturia,,"Modular V2 , Solina V2","Modular V2 , Solina V2",,,
Toto Tribute,Arturia,,"Modular V2, Jup-8 V, DX7 V, CS-80 V4","CS-80 V4, DX7 V, Jup-8 V, Modular V2",,,
Ambient Explorations,Arturia,,Pigments,Pigments,,,
Bass Explorations,Arturia,,Pigments,Pigments,,,
Beats Explorations,Arturia,,Pigments,Pigments,,,
Cities in Dust,Arturia,,Pigments,Pigments,,,
Dubstep Explorations,Arturia,,Pigments,Pigments,,,
Evolving Electro,Arturia,,Pigments,Pigments,,,
Expressive Explorations,Arturia,,Pigments,Pigments,,,
Generative Voyage,Arturia,,Pigments,Pigments,,,
Granular Explorations,Arturia,,Pigments,Pigments,,,
Hazy Explorations,Arturia,,Pigments,Pigments,,,
Hypertechno Explorations,Arturia,,Pigments,Pigments,,,
IDM Explorations,Arturia,,Pigments,Pigments,,,
IDM Grooves,Arturia,,Pigments,Pigments,,,
Liquid Explorations,Arturia,,Pigments,Pigments,,,
Lofi Explorations,Arturia,,Pigments,Pigments,,,
M.Houle's Signature,Arturia,,Pigments,Pigments,,,
Modal Explorations,Arturia,,Pigments,Pigments,,,
Openworld Explorations,Arturia,,Pigments,Pigments,,,
Pigments 2.0,Arturia,,Pigments,Pigments,,,
Pigments 3.0,Arturia,,Pigments,Pigments,,,
Pigments 3.5,Arturia,,Pigments,Pigments,,,
