Model Name,Vendor,Type,Column 11,Link,Description,Founder,Year,Recording notes,Artists,Clone Notes
DG412,3rd Power,Amp & Cab,Amp & Cab,3rd Power DG412 Cab,Top 2 Drivers: Celestion G12-T75; Bottom 2 Drivers. Tone Speak Manchester 1290 ,,,,Joe Satriani,
Dragon,3rd Power,Amp & Cab,Amp & Cab,3rd Power Special Design Amps,,,,,Joe Satriani,
A/DA Flanger,A/DA (Analog Digital Associates) ,Modulation,Modulation,,"First A/DA product which became A/DA’s most successful pedal, shipping more than 50,000 units before it was discontinued in the early 80s.",Dave Tarnowski,,,Eddie Van Halen (Unchained) ,
A/DA STD-1 Stereo Tapped Delay,A/DA (Analog Digital Associates) ,Delay,Delay,,Analog Tapped Delay w/ LFO feedback modulation,,1980,,,
Abbey Road Studios 3,Abbey Road,Studio,Studio,,Studios for spatial reference (headphones) ,,,,,
Cats on Amps,AC Noises,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",,"limited-edition, ""super gated and sputtering"" fuzz pedal designed for, and in collaboration with, the Cats on Amps Instagram account. Known for creating, ""noisy/destructive riffs and gnarly solos,"" this pedal features a large volume knob and very few controls, with only 15 units produced. It is designed for high-gain, harsh tone",,,,,
301,Acoustic (ACC - Acoustic Control Corporation) ,"Amp & Cab, Bass","Amp & Cab, Bass",,1x18 folded horn bass cabinet; 200/300W,,,"deep, powerful, resonant low end",,
360,Acoustic (ACC - Acoustic Control Corporation) ,Amp & Cab,Amp & Cab,"360 Bass Preamp
Acoustic Control Corporation","Legendary solid state bass amp to match volume of high-output guitar amps. 200W preamp/head w/ built-in fuzz. Often paired w/ the 361 cab w/ an 18"" speaker",Harvey Gerst; Russ Allee,late 1960s,,"Jaco Pastorius, John Paul Jones",
360 (1 x 18),Acoustic (ACC - Acoustic Control Corporation) ,Amp & Cab,Amp & Cab,,"(18"" speaker paired w/ Acoustic 360 Bass Amp) ",,,,,
R44C,AEA,Microphone,Microphone,,large ribbon; Replica of Classic RCA 44 Ribbon Mic,,,,,
R84,AEA,Microphone,Microphone,,ribbon,,,guitar,,
DB410,Aguilar,Amp & Cab,Amp & Cab,DB410,"410 Bass Cabinet. Default Driver: (Custom ""Ceramic Eminence Speakers"") ",,,,,
DB750,Aguilar,Amp & Cab,Amp & Cab,Model DB750 Tube Bass Head,"Hybrid amp nw/ discrete Mosfet output section and an all tube preamp (3 12AX7, 1 12AU7).  750W",,,,,
DB751,Aguilar,Amp & Cab,Amp & Cab,DB751 Bass Amp,975W evolution of DB750 w/ 3 band EQ. 3 x 12AX7 preamp,,,,,
Tone Hammer,Aguilar,Amp & Cab,Amp & Cab,"Tone Hammer 500 Bass Amp
Tone Hammer 700 Bass Amp","solid state preamp 3-band EQ, built in distortion. 500W + 700W versions",,,,,
62-9025A,Airline,Amp & Cab,Amp & Cab,,Vintage tube amps sold by Montgomery Ward. (Manufactured by Valco and Danelectro) Default Driver: Jensen C10R. ,,1960s,"rich, vintage tube tone. warm cleans + thick overdrive",,
460B (CK61-ULS capsule) ,AKG,Microphone,Microphone,,small condenser,,,"A precise, neutral recording mic",,
BX 20,AKG,Reverb,Reverb,,"Hybrid convolution reverb / advanced delay network w/ 2 mono reverb tanks (spring containers) (low freq / dark, high freq / bright) ",,,,,
C1000 S,AKG,Microphone,Microphone,C1000 S,small condenser,,,field recording,,
C12,AKG,Microphone,Microphone,,large diaphragm tube condenser; dual backplate design (great off-axis frequency response) has a classic 10kHz bump (what they are known for) The CK12 capsule is one of the most complex / intricate LD condensers made. ,,,"vocals, acoustic instruments (lush high-end, smooth mids); high end sheen  + sparkle. Lush / breathy vocals (w/o too much sibilance) [Vocals, piano, drum OH]
",,
C12A,AKG,Microphone,Microphone,,multi-pattern large tube condenser; Classic multipurpose studio mic; excellent close mic response and consistent low frequency response at further distances. Like C12 but w/ a 7586 nuvistor tube,,,"less sparkle, more warmth","Geddy Lee, David Bowie",
C12VR,AKG,Microphone,Microphone,C12VR,large tube; reboot of C12,,,,,
C3000,AKG,Microphone,Microphone,C3000,large condenser,,,,,
C4000B,AKG,Microphone,Microphone,,dual condenser; Solid state version of SolidTube,,,,,
C414 EB,AKG,Microphone,Microphone,,EB = Extended Bass; large condenser; Original brass-ringed capsule -- one of the greatest studio mics of all time. Uses sme CK12 capsule as C12. DEFAULT = Brass Capsule,,,"High-end sheen / sparkle of C12 w/ more low end . OH, snare, acoustic guitar",,
C414 EB (Nylon),AKG,Microphone,Microphone,,EB = Extended Bass; large condenser; Replaced brass CK12 w/ cheaper Nylon capsule,,,"less high end, more neutral",,
C414 XLS,AKG,Microphone,Microphone,C414 XLS,"large condenser; replaced CK12 w/ a cheaper nylon capsule. less high end, more neutral. modern variant that tries to recreate CK12 version w/ more modern nylon capsulte. First to use transformerless circuits (less distortion). Scooped midrange. ",,,"(vocals, strings, overheads, piano) ","Frank Sinatra, Bing Crosby, Elvis Presley, Chris Martin (Coldplay) ",
C414/ULS,AKG,Microphone,Microphone,,ULS = Ultra LInear Series; (aka B-ULS)  large condenser. US-based version of the Nylon capsuled version. ,,,"Sounds even more neutral [ ""great all-around when used as stereo pair for piano, drum OH, strings""]",,
C451B,AKG,Microphone,Microphone,C451B,"industry standard small diaphragm cardioid condenser mic with modular end  
- omni -> CK2 capsule
- cardioid -> CK1 capsule
- hyper-cardioid -> CK3
- figure-8 -> CK4",,,"Drum OH, piano, snare bottom. ] ""airy"" sound, high-end sparkle,. ndustry-standard choice for overheads, hi-hats, acoustic guitars, and percussion, providing a bright, clean, and detailed sound. ",,
C535 EB,AKG,Microphone,Microphone,C535 EB,studio quality cardioid reference electret condenser,,,,,
D112,AKG,Microphone,Microphone,D112,Cardioid Dynamic Microphone,,,"Classic kick drum and bass guitar mic. Austrian kick mic. Countless rock + metal records. Excellent low freq extension w/ good top end presence for the beater sibilance [kick, bass guitar amp]. Classic scooped out sound",,
D12,AKG,Microphone,Microphone,D12 Manual,dynamic cardioid,,1950s-70s,"Common kick drum mic (often combined w/ a 421) [ kick, bass guitar amp, vocals ]",,
D12E,AKG,Microphone,Microphone,D12E,dynamic cardioid,,1980s,Common kick drum mic. ,,
D790,AKG,Microphone,Microphone,,Affordable dynamic handheld vocal mic,,,vocals,,
P120,AKG,Microphone,Microphone,P120,P120 = Perception 120. large diaphragm true condenser microphone,,,,,
P220,AKG,Microphone,Microphone,P220,P220 = Perception 220. large diaphragm true condenser microphone,,,,,
Solidtube,AKG,Microphone,Microphone,AKG Solidtube,Valve Capacitor Microphone,,,,,
The Tube,AKG,Microphone,Microphone,The Tube,large diaphgram tube condensor mic,,,"Known for a dark, intimate sound. classic tube warmth w/ detailed, natural top end. (Vocals, instruments). Regarded for its smoooth, musical character",,
AM61,Alesis,Microphone,Microphone,AM61,Class-A cardioid fixed pattern tube condenser microphone with switchable pad and filter and Cinemag transformer output.,,,,,
Andromeda A6,Alesis,Synth / Samplers,Synth / Samplers,Andromeda A6,16 voice analog synth,,2000-01,,"Duran Duran, Depeche Mode, Nine Inch Nails, Yes, Pet Shop Boys",
M11 (21B Capsule) ,Altec,Microphone,Microphone,M11 w/ 21B Capsule,small omni tube condenser,,,,,
1566a preamplifier,Altec Lansing,Preamps & DI,Preamps & DI,1566A Preamplifier,Vintage tone / saturation of tube preamp (mic / line),,,"use (bass, drums) ",,
1567a preamplifier,Altec Lansing,"Preamps & DI, EQ","EQ, Preamps & DI",1567a preamplifier,Vintage tone / saturation of tube preamp (mic / line) w/ 2-Band tonal EQ,,,"use (bass, drums) ",,
B-15,Ampeg,Amp & Cab,Amp & Cab,"Ampeg - Discontinued
Ampeg Portaflex","25-30W, original prototype. Baxandall EQ, 3 x6SL7 octal preamp tubes, 1 x 5AR4 rectifier, 2 x 6L6GC power amp. Default Driver: Jensen P15N",Jess Oliver,1964-66,"Warm, round, compressed. Motown / early studio bass tone",,
B-15 (Heritage) ,Ampeg,Amp & Cab,Amp & Cab,"Ampeg - Discontinued
Ampeg Portaflex","25-30W, The Heritage version was a re-release in the 2000s w/ 12AX7. (Still a 1x15 combo) Default Driver: OEM Eminence Speaker (Tuned similar to P15N)",,,,,
B-15N,Ampeg,Amp & Cab,Amp & Cab,"Ampeg - Discontinued
Ampeg Portaflex","Definitive, famous B-15. 30W 6L6 power tubes. (Multiple, more sophisticated circuit revisions).  Default Driver: Jensen P15N",,mid-60s to early 70s,"Thick low mids. Smooth Compression. Bass doesn't fight guitars in the mix. Studio gold standard. James Jameson (Motown), Donald Dunn, Darryl Jones, Justin Meldal-Johnsen, Alex Al, Owen Biddle",,
B-15NF,Ampeg,Amp & Cab,Amp & Cab,"Ampeg - Discontinued
Ampeg Portaflex","(NF = No Flange). 25-30W, original prototype.  Baxandall EQ, 3 x6SL7 octal preamp tubes, 1 x 5AR4 rectifier, 2 x 6L6GC power amp. Default Driver: Jensen P15N",Jess Oliver,1966,"Warm, round, compressed. Motown / early studio bass tone. Slightly tighter, more controlled low end. ",,
