Name,Site,Manuals,Account Page
8dio,https://8dio.com/,,My Account
Ableton,https://www.ableton.com/,Live 12 Manual,Account
Ample Sound,https://www.amplesound.net/,(Hover over the support tab on the site) ,Account List
Antares,https://www.antarestech.com/,Mic Mod User Guide,My Account
Arobas Music (Guitar Pro) ,https://www.guitar-pro.com/,Guitar Pro 8 User Guide,My Account
Arturia,https://arturia.com,Downloads & Manuals,My Arturia
Audio Modern,https://audiomodern.com,Support,My Account
basehead,https://baseheadinc.com,Knowledge Base,My Account
BFD (Drums) ,https://bfddrums.com,BFD Support,My Account (inMusic)
Celemony,https://www.celemony.com,Melodyne 5 Editor Reference,Login
Eventide,https://www.eventideaudio.com/,Documentation,My Account
FabFilter,https://www.fabfilter.com/,Online Help and PDF Manuals,My Account
GForce,https://www.gforcesoftware.com/,User Manuals,My Account
Heavyocity,https://heavyocity.com,,My Account
IK Multimedia,https://ikmultimedia.com,User Area | My Products,My Account
inMusic,https://www.inmusicbrands.com/,,My Account (inMusic)
iZotope,https://iZotope.com,iZotope Product Manuals & Documentation,Account Overview
Jam Origin,https://www.jamorigin.com/,Support,N/A
Korg,https://www.korg.com,Korg Collection 6 Owner's Manuals,
Line 6,https://www.line6.com,Helix Native Manuals,My Account
MuseHub,https://www.musehub.com/,,My Account
MuseScore,https://musescore.org,MuseScore Studio Handbook,My Profile
Music Developments,https://www.musicdevelopments.com/,RapidComposer UserGuide,
Native Instruments,https://native-instruments.com,Native Instruments Online Manuals,My Accounts
Neural DSP,https://neuraldsp.com,Downloads,My Account
Output,https://www.output.com,Tech Specs and Product Manuals,Output Account
PACE Anti-Piracy,https://paceap.com/,,
Positive Grid,https://www.positivegrid.com/,Download,My Account / Overview
Reason Studios,https://www.reasonstudios.com,Documentation,My Account
Rogue Amoeba,https://rogueamoeba.com/,Loopback Manual,
Roland,https://www.roland.com,Katana Artist Gen 3 Support,Backstage
Scaler Music,https://scalermusic.com/,My Products,My Account
Sonarworks,https://www.sonarworks.com/,Sound ID Reference Setup guides and troubleshooting,Account | Products
Soundpaint,https://www.soundpaint.com,Soundpoint 4.5 User Manual,My Account
Soundtoys,https://www.soundtoys.com/,Products,My Products
Spectrasonics,https://www.spectrasonics.net/,How Can I Access the Reference Guides?,My Profile
Spitfire Audio,https://www.spitfireaudio.com,BBC Pro User Manual,Account
Steinberg,https://www.steinberg.net/,Product Manuals & Support Articles,Products
Toontrack,https://www.toontrack.com,User Manuals,My Products
Universal Audio,https://www.uaudio.com,Product Manuals,Overview
W.A. Production,https://www.waproduction.com/,Product Manuals,Profile
Waves,https://www.waves.com/,Manuals,My Products
XLN Audio,https://www.xlnaudio.com/,Addictive Keys User Guide,Account Overview
Yamaha,https://usa.yamaha.com/index.html,Manual Library,Account Details
Soundminer,https://store.soundminer.com/,V6 General Manual,Account
